Season,Name,Team,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,RS,RS/9,Balls,Strikes,Pitches,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,NameASCII,PlayerId,MLBAMID
2024,"Carlos Rodón","NYY",0.28442437923250563,0.685344827,0.168085106,0.338297872,0.493617021,0.081896551,0.133620689,123,6.325714285714286,1121,1981,3102,0.39873418,0.34388186,0.25738397,0.14345992,0.52742616,0.32911392,"Carlos Rodon",16137,607074
2022,"Clarke Schmidt","NYY",0.2733333333333333,1.103448275,0.197368421,0.421052631,0.381578947,0.103448275,0.086206896,20,3.1213875241330613,322,608,930,0.41935484,0.32258065,0.25806452,0.15483871,0.51612903,0.32903226,"Clarke Schmidt",19899,657376
2024,"Colin Rea","MIL",0.28169014084507044,0.952830188,0.20537428,0.38771593,0.406909788,0.094339622,0.136792452,92,4.938369968572429,927,1725,2652,0.45627376,0.30418251,0.23954373,0.13688213,0.53422053,0.32889734,"Colin Rea",12317,607067
2024,"Alec Marsh","KCR",0.29213483146067415,0.915032679,0.210242587,0.37735849,0.412398921,0.111111111,0.124183006,76,5.302325894988653,771,1392,2163,0.4197861,0.3315508,0.2486631,0.18181818,0.48930481,0.32887701,"Alec Marsh",27451,679525
2022,"Matt Bush","- - -",0.2318840579710145,0.921875,0.163265306,0.401360544,0.435374149,0.0625,0.171875,26,3.921788066661903,300,609,909,0.31543624,0.32885906,0.3557047,0.12080537,0.55033557,0.32885906,"Matt Bush",1246,456713
2021,"Kyle Zimmer","KCR",0.2785714285714286,1.433962264,0.110344827,0.524137931,0.365517241,0.056603773,0.132075471,17,2.833333933795067,373,561,934,0.39726027,0.38356164,0.21917808,0.15753425,0.51369863,0.32876712,"Kyle Zimmer",14169,622092
2024,"Brad Keller","- - -",0.291044776119403,1.448979591,0.154929577,0.5,0.345070422,0.061224489,0.183673469,9,1.9596776152872961,281,463,744,0.41958042,0.33566434,0.24475524,0.14685315,0.52447552,0.32867133,"Brad Keller",15734,641745
2023,"Trevor Williams","WSN",0.3157894736842105,0.96,0.193415637,0.395061728,0.411522633,0.1,0.17,68,4.240184906928608,1011,1614,2625,0.4,0.34693878,0.25306122,0.16326531,0.50816327,0.32857143,"Trevor Williams",16977,592866
2023,"Hunter Gaddis","CLE",0.26119402985074625,0.48051948,0.179856115,0.26618705,0.553956834,0.142857142,0.077922077,19,4.071428756324621,247,440,687,0.39285714,0.30714286,0.3,0.21428571,0.45714286,0.32857143,"Hunter Gaddis",25636,683769
2024,"Colin Holderman","PIT",0.2748091603053435,0.894736842,0.205882352,0.375,0.419117647,0.157894736,0.105263157,23,4.032468231678693,335,535,870,0.40875912,0.29927007,0.2919708,0.19708029,0.47445255,0.32846715,"Colin Holderman",22361,670059
