Season,Name,Team,IP,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,Pace,NameASCII,PlayerId,MLBAMID
2023,"Cole Ragans","- - -",96,0.30111524,0.68934531,0.49180328,0.53909465,0.7877095,0.71025641,0.49117276,18.42398649,"Cole Ragans",21846,666142
2023,"Jameson Taillon","CHC",154.1,0.28316327,0.6705969,0.49072246,0.63063063,0.86263736,0.8004827,0.53572839,18.41956173,"Jameson Taillon",11674,592791
2023,"Carlos Estévez","LAA",62.1,0.28910891,0.70418006,0.51818988,0.60958904,0.80593607,0.75684932,0.55190772,18.41843972,"Carlos Estevez",14542,608032
2024,"Matthew Boyd","CLE",39.2,0.296875,0.66189112,0.48729447,0.48421053,0.80952381,0.71472393,0.52167414,18.414,"Matthew Boyd",15440,571510
2023,"Jake Woodford","STL",47.2,0.18009479,0.62217659,0.41694169,0.72368421,0.89438944,0.86015831,0.53575358,18.41313869,"Jake Woodford",18674,663765
2024,"Nate Pearson","- - -",66.1,0.24948454,0.6443299,0.46485473,0.45454545,0.84533333,0.75,0.54545455,18.41267788,"Nate Pearson",20160,663878
2023,"Michael Wacha","SDP",134.1,0.29677419,0.65052817,0.47771274,0.59006211,0.85385656,0.7737983,0.51148131,18.41211758,"Michael Wacha",14078,608379
2024,"Stephen Kolek","SDP",46.2,0.28197674,0.65121413,0.49184442,0.60824742,0.87118644,0.80612245,0.56838143,18.40784983,"Stephen Kolek",21487,663568
2024,"Jared Jones","PIT",121.2,0.31644144,0.68945313,0.51621339,0.4911032,0.81586402,0.72340426,0.53556485,18.39828694,"Jared Jones",27863,683003
2024,"Camilo Doval","SFG",59,0.28877888,0.60784314,0.43458781,0.38857143,0.82903226,0.67010309,0.45698925,18.39408284,"Camilo Doval",21992,666808
2023,"Chris Devenski","- - -",42.1,0.32670455,0.64329268,0.47941176,0.48695652,0.84834123,0.7208589,0.48235294,18.39207921,"Chris Devenski",12763,606965
2023,"Randy Vásquez","NYY",37.2,0.29090909,0.62241888,0.45889387,0.72916667,0.90047393,0.84690554,0.50672646,18.38945233,"Randy Vasquez",24719,681190
2023,"José Soriano","LAA",42,0.32311978,0.54019293,0.4238806,0.31896552,0.86904762,0.6443662,0.4641791,18.37881874,"Jose Soriano",22100,667755
2024,"Javier Assad","CHC",147,0.23021002,0.60615385,0.42277384,0.68070175,0.89974619,0.8415657,0.51221434,18.37817797,"Javier Assad",21741,665871
2024,"Daniel Hudson","LAD",63,0.25306122,0.74656189,0.5045045,0.44354839,0.79473684,0.70833333,0.50950951,18.37415882,"Daniel Hudson",7146,543339
2024,"Tim Mayza","- - -",42.2,0.21551724,0.64751958,0.44186047,0.62666667,0.89919355,0.83591331,0.52393981,18.36988848,"Tim Mayza",15042,641835
2024,"Austin Adams","OAK",41.1,0.22622108,0.59134615,0.41490683,0.39772727,0.78861789,0.68562874,0.51677019,18.36867863,"Austin Adams",13801,613534
2023,"Josh Winder","MIN",34.2,0.28125,0.70110701,0.48479428,0.64197531,0.87894737,0.80811808,0.48479428,18.36453202,"Josh Winder",24606,680739
2023,"Kendall Graveman","- - -",66.1,0.26151316,0.63708087,0.432287,0.51572327,0.82662539,0.72406639,0.45470852,18.36144578,"Kendall Graveman",15514,608665
