Season,Name,Team,IP,FA%,FT%,FC%,FS%,FO%,SI%,SL%,CU%,KC%,EP%,CH%,SC%,KN%,UN%,NameASCII,PlayerId,MLBAMID
2021,"Trevor Bauer","LAD",107.2,0.40067152,,0.21600448,,,0.05931729,0.18578623,,0.11191942,,0.02630106,,,,"Trevor Bauer",12703,545333
2021,"Adrian Houser","MIL",142.1,0.13435374,,,,,0.53826531,0.07270408,0.14370748,,,0.11096939,,,,"Adrian Houser",12718,605288
2021,"Rafael Montero","- - -",49.1,0.35476464,,,,,0.25947187,0.19402985,,,,0.19173364,,,,"Rafael Montero",12760,606160
2021,"Sonny Gray","CIN",135.1,0.23788151,,0.00493716,,,0.29129264,0.2010772,0.22666068,0.00493716,,0.03321364,,,,"Sonny Gray",12768,543243
2021,"Burch Smith","OAK",43.1,0.68879056,,0.00147493,,,,0.01769912,0.15634218,,,0.13569322,,,,"Burch Smith",12784,572143
2021,"Noé Ramirez","- - -",36,0.37478411,,,,,,,0.32642487,,,0.29879102,,,,"Noe Ramirez",12800,598287
2021,"Matt Wisler","- - -",48.2,0.09148666,,,,,,0.90851334,,,,,,,,"Matt Wisler",12804,605538
2021,"Andrew Kittredge","TBR",71.2,0.10590631,,,,,0.43991853,0.45112016,,,,0.00305499,,,,"Andrew Kittredge",12828,552640
2021,"Shawn Armstrong","- - -",36,0.55036496,,0.32992701,,,,0.11970803,,,,,,,,"Shawn Armstrong",12857,542888
2021,"Matt Barnes","BOS",54.2,0.49836779,,,,,,,,0.48422198,,0.01741023,,,,"Matt Barnes",12863,598264
2021,"Tyler Anderson","- - -",167,0.37317448,,0.26133743,,,0.10338201,0.00922367,0.00614912,0.00038432,,0.24634896,,,,"Tyler Anderson",12880,542881
2021,"Alex Claudio","LAA",32.2,0.14310051,,,,,0.34241908,0.27086882,,,,0.24361158,,,,"Alex Claudio",12890,592222
2021,"Dylan Bundy","LAA",90.2,0.34251969,,,,,0.17257218,0.21128609,0.13648294,,,0.13713911,,,,"Dylan Bundy",12917,605164
2021,"Archie Bradley","PHI",51,0.4679696,,,,,0.23778502,,,0.15526602,,0.13897937,,,,"Archie Bradley",12918,605151
2021,"Joe Musgrove","SDP",181.1,0.20319946,,0.18209666,,,0.05105514,0.27773996,0.23757658,,,0.0483322,,,,"Joe Musgrove",12970,605397
2021,"Joe Ross","WSN",108,0.16,,,,,0.46588235,0.31294118,,,,0.06117647,,,,"Joe Ross",12972,605452
2021,"Andrew Chafin","- - -",68.2,0.29567054,,,,,0.43928194,0.26399155,,,,0.00105597,,,,"Andrew Chafin",12988,605177
2021,"Anthony DeSclafani","SFG",167.2,0.27052385,,,,,0.18647381,0.35691947,,0.08131353,,0.10476935,,,,"Anthony DeSclafani",13050,543101
2021,"Yu Darvish","SDP",166.1,0.22109827,,0.02528902,0.04877168,,0.08236994,0.53793353,0.0458815,0.03865607,,,,,,"Yu Darvish",13074,506433
