Season,Name,Team,IP,FA-X,FT-X,FC-X,FS-X,FO-X,SI-X,SL-X,CU-X,KC-X,EP-X,CH-X,SC-X,KN-X,NameASCII,PlayerId,MLBAMID
2021,"Dallas Keuchel","CHW",162,3.3602263639713157,,-0.4239232690937548,,,8.685398984393908,-3.3598322172959647,,,,8.633814637642594,,,"Dallas Keuchel",9434,572971
2021,"Joe Kelly","LAD",44,-6.8875516024502845,,,,,-9.480940408909575,,,4.363012059115432,,-10.498734714673914,,,"Joe Kelly",9761,523260
2021,"Garrett Richards","BOS",136.2,0.07818006311805503,,,,,-4.825006925142729,1.0089601857535144,5.727859659397856,5.041347980499268,,-9.43472900390625,,,"Garrett Richards",9784,572070
2021,"Rex Brothers","CHC",53,5.411067956822519,,,,,-9.765695571899414,0.16672768703726834,,,,,,,"Rex Brothers",9794,571521
2021,"Miles Mikolas","STL",44.2,-2.9714235346368016,,,,,-7.96624454451196,1.423869374034169,4.85863623046875,4.261046886444092,,-7.569662655101103,,,"Miles Mikolas",9803,571945
2021,"Sergio Romo","OAK",61.2,-8.580455961681547,,,,,-11.48738308127867,6.794984485934811,,,,-12.343409488075658,,,"Sergio Romo",9817,489265
2021,"Mike Minor","KCR",158.2,1.3877378142739871,,,,,9.110137939453125,-2.6486999618237346,,-3.778437036667427,,9.77414279513889,,,"Mike Minor",10021,501985
2021,"Tyler Matzek","ATL",63,3.349133414259628,,,,,,-2.999587052351945,-4.241125318739149,,,,,,"Tyler Matzek",10058,554431
2021,"Brooks Raley","HOU",49,4.679056636622695,,-1.5822454180036272,,,9.953593712726622,-8.545476113596271,-8.198295593261719,,,9.566677209102746,,,"Brooks Raley",10061,548384
2021,"Caleb Thielbar","MIN",64,1.7253208512309732,,,,,,-7.918092747738487,-5.598281521267361,-6.1421003341674805,,2.2672249476114907,,,"Caleb Thielbar",10078,573204
2021,"Kyle Gibson","- - -",182,-3.8879771797453406,,0.11791588369488992,,,-9.091871596355828,2.3898118473429535,3.4658545553684235,,,-8.782567447810978,,,"Kyle Gibson",10123,502043
2021,"Brad Boxberger","MIL",64.2,-3.973640936980033,,,,,,3.0351386070251465,,,,-7.418846868699597,,,"Brad Boxberger",10133,502202
2021,"Aroldis Chapman","NYY",56.1,2.560388269558759,,,1.5663437027115006,,7.560446220531798,-7.075923179512594,,,,,,,"Aroldis Chapman",10233,547973
2021,"Ryan Tepera","- - -",61.1,-5.180339825266167,,,,,-9.172689699659161,1.502989865019394,2.5072479248046875,,,-6.8969487860651295,,,"Ryan Tepera",10291,572193
2021,"Zack Wheeler","PHI",213.1,-4.897466326917771,,0.6968885176488374,-8.722469329833984,,-9.319864214483788,,5.075399959788603,,,-8.232562887257544,,,"Zack Wheeler",10310,554430
2021,"Juan Minaya","MIN",40,-6.819902718242994,,,,,,1.5120353698730469,,,,-7.544369259396115,,,"Juan Minaya",10341,573668
2021,"Aaron Loup","NYM",56.2,,,0.6650352826083663,,,12.43125449286567,,-9.43614123951305,,,10.912595907847086,,,"Aaron Loup",10343,571901
2021,"Mychal Givens","- - -",51,-5.7107594807942705,,,,,,2.4981445535256044,,,,-5.74801989299495,,,"Mychal Givens",10430,571710
2021,"Chris Sale","BOS",42.2,8.438378208705357,,,,,11.329327392578126,-5.343433248585668,,,,11.341071234809029,,,"Chris Sale",10603,519242
2021,"Mike Foltynewicz","TEX",139,-6.6245382880874235,,,,,-9.801206992147394,2.314003645698979,5.258753075821852,,,-8.506123141770649,,,"Mike Foltynewicz",10811,592314
2021,"Chasen Shreve","PIT",56.1,5.9181226365109705,,,6.262717249773551,,-7.395366191864014,-2.1314645927643108,,,,,,,"Chasen Shreve",10855,592741
2021,"Jacob deGrom","NYM",92,-5.689676458185369,,,,,,2.1115465980287285,3.796513319015503,,,-8.447291942911411,,,"Jacob deGrom",10954,594798
2021,"Merrill Kelly","ARI",158,-4.702993951612903,,-1.6020879717679481,,,-9.253591652684564,,4.68000967644121,,,-9.205450699792655,,,"Merrill Kelly",11156,518876
2021,"Vince Velasquez","- - -",94.1,-2.5665158199772953,,,,,-7.312840275950246,3.453586277625373,,2.8579135383527303,,-7.381561793638079,,,"Vince Velasquez",11189,592826
2021,"Casey Sadler","SEA",40.1,-3.3061723709106445,,1.6125474116973233,,,-9.95370425084594,,6.568803630891393,,,-13.626607894897461,,,"Casey Sadler",11209,594987
2021,"Jose Quintana","- - -",63,2.808848535590492,,,,,7.7070201338686015,,-5.043901742222798,,,6.720504929347592,,,"Jose Quintana",11423,500779
2021,"Robbie Ray","TOR",193.1,5.502641598938743,,,,,8.171456336975098,0.3111621131581708,,0.1062208744867934,,6.448244348036504,,,"Robbie Ray",11486,592662
2021,"Joely Rodríguez","- - -",46.1,8.243436431884765,,,,,11.309226499784977,-0.3388466793915321,,,,7.469777103892544,,,"Joely Rodriguez",11487,570257
2021,"Aaron Sanchez","SFG",35.1,-6.009332536577104,,,,,-9.70943107185783,,7.42732188465831,,,-7.991364924112956,,,"Aaron Sanchez",11490,592717
2021,"José Ureña","DET",100.2,-5.846272749059341,,,,,-9.533770805292212,0.551994137886243,,,,-8.216087836723823,,,"Jose Urena",11589,570632
2021,"Heath Hembree","- - -",58,-5.774382581208881,,,,,,4.175123907292931,6.777345275878906,,,,,,"Heath Hembree",11632,592390
