Season,Name,Team,IP,vFA,vFT,vFC,vFS,vFO,vSI,vSL,vCU,vKC,vEP,vCH,vSC,vKN,NameASCII,PlayerId,MLBAMID
2021,"José Urquidy","HOU",107,92.53404080347144,,,,,,79.30848933765724,77.24166666666666,,,84.41530479379252,,,"Jose Urquidy",18413,664353
2021,"Kenta Maeda","MIN",106.1,90.57407407407408,,,84.22158106435644,,89.9234021775266,82.09218031058282,75.20780944824219,,,,,,"Kenta Maeda",18498,628317
2021,"Josh Rogers","WSN",35.2,90.47222222222223,,,,,89.2249984741211,82.11283213569519,75.2000020345052,,,82.2652145606884,,,"Josh Rogers",18510,642028
2021,"Phil Bickford","- - -",51.1,93.90501998227285,,,,,92.30000305175781,83.98102051672274,,,,84.93332926432292,,,"Phil Bickford",18519,641360
2021,"Dylan Cease","CHW",165.2,96.61692858429394,,,,,,85.88456105292173,,79.88485697383074,,78.02347417840376,,,"Dylan Cease",18525,656302
2021,"Sam Hentges","CLE",68.2,94.62256139459846,,,,,93.01490864000823,86.1693095090759,80.22229237161625,,,88.38333129882812,,,"Sam Hentges",18548,656529
2021,"Logan Allen","CLE",50.1,92.74262508538251,,82.30000305175781,,,90.25384051983173,81.6552725497159,76.78701187728288,,,83.32695018146055,,,"Logan Allen",18555,663531
2021,"A.J. Minter","ATL",52.1,96.09193338373656,,88.97364542958657,,,,,,,,87.2059795673077,,,"A.J. Minter",18655,621345
2021,"Jake Woodford","STL",67.2,92.12661447832662,,92.2000020345052,,,91.42733736127336,82.15230994591346,76.33793103448276,,,85.1420314622962,,,"Jake Woodford",18674,663765
2021,"Freddy Peralta","MIL",144.1,93.38375841974724,,,,,92.41935483870968,80.4834960546249,76.75196850393701,,,88.0179842229475,,,"Freddy Peralta",18679,642547
2021,"Sandy Alcantara","MIA",205.2,98.06691499812874,,,,,97.61567684496568,90.421875,83.83125,,,91.81716818337912,,,"Sandy Alcantara",18684,645261
2021,"Kolby Allard","TEX",124.2,91.48325089928058,,86.32195569797904,,,92.58571951729911,,75.90748683576543,,,83.61123666021254,,,"Kolby Allard",18694,663465
2021,"Nick Neidert","MIA",35.2,91.74626317143016,,85.5999984741211,,,,84.49999802048141,74.35932327529132,,,83.2888912624783,,,"Nick Neidert",18699,663734
2021,"Cody Poteet","MIA",30.2,93.58951457162921,,,,,,85.59151127653301,79.14800130208333,,,86.792001953125,,,"Cody Poteet",18769,547001
2021,"Drew Steckenrider","SEA",67.2,94.03900367093374,,,,,,,80.42717179008152,,,87.60999755859375,,,"Drew Steckenrider",18806,608716
2021,"Miguel Díaz","SDP",42,94.41528475816082,,,,,94.45714460100446,87.86153940054086,,,,85.99169110327216,,,"Miguel Diaz",18815,622766
2021,"Kyle Keller","PIT",33.1,94.53379335508242,,,,,,,81.37448141163793,,,,,,"Kyle Keller",18890,664918
2021,"Mitch White","LAD",46.2,94.43650146484374,,,,,96.30000305175781,86.37226277372262,81.96196908010563,,,87.32999877929687,,,"Mitch White",19225,669952
